player,2020,2021,2022,2023
,47922728,50899072,51411079,49497298
,45867637,48949159,49760158,48751539
,45867637,48949159,49760158,48478072
,45501374,48826198,49648204,45795529
,45501374,48826198,47186357,45429841
,44593536,47469914,46244900,44564287
,44310208,46417307,44183589,43754169
,41035648,41956422,44183510,43754169
,39661437,41851026,44183510,43754169
,39315117,40834109,44183510,43754169
,39001178,40688498,42651564,41805568
,39001178,40688498,40445449,40072573
,39001178,40688498,40422708,39305820
,39001178,40664532,39865767,39112096
,39001178,40121756,39710077,39108435
,38951971,39911810,39691512,38771293
,38726761,39117516,39673400,38750442
,37810011,38750950,39267715,38388207
,36453806,37431265,37871580,38197960
,36151907,36994903,37062738,38197960
,35499530,36167554,37062738,38197960
,34475733,36167554,36391063,36501206
,33352666,36097489,35542970,36501206
,33352666,35023672,35542970,36138577
,33042933,34963685,35542970,35338527
,32824930,34963685,35463003,34837973
,32762598,34963685,35463003,34837973
,32762598,34875855,35102376,34837973
,32762598,34875855,35004763,34614911
,32500982,34875855,34862788,34614911
,32500982,34741350,34659857,34323058
,32500982,34028421,34587764,34029050
,32500982,34028421,33704540,33979828
,32459977,33907081,33605157,32590362
,32272300,33730441,33091731,32590362
,32272299,33717705,33091731,32309411
,32272299,32830932,31559650,31831634
,32272299,32580159,31559650,31831634
,31126508,32576837,31559650,31831634
,30970332,32546916,31559650,31831634
,30782958,32292459,30320442,31464258
,30782958,32292459,30302618,31252978
,30488744,31985939,30049723,31252978
,30452433,30771630,29197463,31252978
,30086995,29629669,26981501,30967980
,29901275,29507409,26951504,30660910
,28763967,26329811,25910765,29806081
,27720358,26293066,25828525,29243246
,26938899,25149890,24368652,29174601
,25014499,24854009,23927114,28556783
,23853263,24498951,23582566,28110585
,23823333,23487038,23506364,27286832
,23697947,23433780,22993002,26572707
,23660900,23209755,22778615,24465476
,23227749,23078722,22462394,24197756
,22953379,23078722,22459587,23353409
,22891721,22546136,22234991,23271034
,22632166,22457372,22095658,22984191
,22163509,22368608,21898097,22653219
,22083193,21464826,21728422,22124282
,22083193,21303436,21689542,21880950
,21666470,21303436,20999714,21806555
,21440999,21303436,20892639,21726496
,21440999,21303436,20775118,21577191
,21024091,21125907,20459356,21305258
,20470419,20863567,20354000,20696804
,20428508,20815454,20213628,20593835
,20249833,20297440,20213628,20285256
,20249833,20119912,20107240,20184299
,20126609,19971971,19989032,20149379
,19331697,19965186,19768308,20130474
,19296899,19177476,19652138,20114909
,19058666,19020925,19539840,20078989
,18634313,18992131,19491713,20057366
,18611978,18344625,19251074,19354391
,18611978,18244890,19172818,19196396
,18463083,18185859,18529159,18897184
,18403585,17752863,18427070,18747491
,18283693,17752863,18220340,18534451
,17867499,17752863,18047883,18534451
,17867499,17615244,17967669,18459108
,17431707,17161101,17620566,17916636
,17271916,17013161,17606711,17872507
,17238456,16907827,17574626,17793073
,16745099,16241756,17549816,17718052
,16725285,16030835,17546552,17651858
,16064430,16019845,17425542,17577991
,16006301,15977577,17326313,17551563
,15882222,15889872,16274176,17403850
,15831075,15780322,16082172,17256214
,15485166,15404602,15935077,17195852
,15366049,15402029,15721711,16989914
,15219281,15385815,15541231,16964639
,15198893,15322411,15440966,16858209
,15160303,15254312,15347384,16475068
,15102290,15172366,15098592,16088934
,15089562,15149110,14989221,16019980
,14953395,15028006,14974227,15731402
,14889583,14971581,14938236,15506861
,14705762,14912405,14642372,15445376
,14532233,14543970,14639567,15136469
,14404806,14498172,14598731,14951876
,14293999,14413634,14571186,14939724
,14293999,14366025,14531352,14742569
,13644273,14288711,14186542,14570138
,13570791,14202290,14037241,14420527
,13461635,13857993,13947403,14319898
,13444120,13738622,13700348,14211408
,13174303,13610528,13694870,14158261
,13116214,13556143,13506070,14153581
,12794011,13492176,13475752,13936689
,12633037,13113596,13475752,13736088
,12507249,13023242,13475752,13385993
,12220625,12860117,13043773,13385993
,12071172,12860117,12703270,13344805
,12050527,12427004,12475544,13324055
,12050527,12279866,12442751,13185077
,12049841,12265615,12352772,13066788
,11911666,12125773,12053386,12974116
,11770630,11953594,12005670,12871147
,11622737,11891400,11791283,12673129
,11608157,11856782,11661579,12558217
,11592905,11835242,11661579,12479287
,11444133,11713481,11606688,12058233
,11435199,11548166,11505462,11892940
,11391031,11504920,11425631,11841455
,11284736,11361832,11286077,11797401
,11132825,11350709,11229793,11738486
,11132825,11328353,11229792,11548260
,11027820,11249516,11169838,11409113
,10807514,11125127,11159214,11383366
,10720499,10957067,10916370,11224293
,10399170,10957067,10916370,11165308
,10386163,10957067,10916370,11052461
,10321373,10957067,10916370,11052093
,10191764,10957067,10916370,11032413
,10159920,10957067,10784375,10866131
,9945096,10947599,10708731,10801466
,9715750,10849130,10708731,10658136
,9695241,10651718,10668303,10605825
,9665041,10608685,10385687,10564637
,9529333,10463040,10309579,10486175
,9529333,10435302,10294127,10424040
,9529333,10332450,10097920,10310097
,9529333,10059956,9888929,10310097
,9529333,10030367,9882218,10184928
,9338698,9862701,9882218,10127925
,9326834,9742487,9826069,9959927
,9309602,9588738,9826069,9888500
,9152162,9586104,9732488,9782071
,9132278,9526612,9684484,9753466
,8887747,9468193,9657622,9722185
,8742279,9468193,9574876,9677195
,8735221,9432140,9556554,9669906
,8735221,9278782,9488135,9627618
,8715854,9272260,9406396,9514352
,8654403,9092929,9350455,9473164
,8635958,8910777,9298663,9395937
,8635958,8876431,9244096,9350030
,8419594,8784116,9216873,9298116
,8409017,8713774,9208430,9267225
,8338166,8679177,9133566,9189999
,8338166,8639726,9068238,9185668
,8251783,8589261,8731613,9146381
,8129712,8521090,8559872,9117796
,7784070,8462198,8499542,9041196
,7742583,8365575,8443140,9009803
,7720525,8284669,8422344,8952520
,7624562,8284669,8422345,8879979
,7614842,8284669,8334752,8748933
,7472188,8202685,8208979,8730468
,7146999,7966902,8175738,8546441
,7146999,7954135,7906762,8529645
,6963743,7890162,7883315,8494957
,6925014,7777884,7860855,8443471
,6916437,7692907,7860855,8340503
,6811090,7684622,7771047,8246224
,6786791,7612032,7639841,8237534
,6551416,7575644,7547229,8237534
,6495765,7310129,7403713,8036618
,6370367,7242784,7299365,8006265
,6321664,7224563,7222628,7871581
,6313659,7101145,7181632,7646581
,6195734,7101145,7130918,7634088
,5955833,7064503,7130549,7568234
,5955833,6880583,6854980,7467530
,5791499,6770232,6745085,7310811
,5790507,6730320,6724400,7274995
,5784067,6669159,6614348,7249936
,5726763,6596174,6614348,7207842
,5678291,6595401,6614348,7127855
,5678291,6509383,6564912,7005005
,5678291,6448834,6555683,6865469
,5678291,6398433,6258737,6782373
,5678291,6326750,6258004,6671373
,5678291,6281105,6241210,6671373
,5678291,6241700,6171369,6671373
,5678291,6171585,6138609,6671373
,5678291,6149001,6088224,6671373
,5678291,6145221,6006008,6585043
,5675861,6054308,5989223,6474084
,5323514,6047378,5971363,6449153
,5317708,6042080,5924267,6368128
,5316939,5923953,5905450,6203892
,5294433,5923953,5902724,6191495
,5217452,5923953,5855869,6178150
,5057360,5923953,5839492,6178150
,5050784,5917621,5815429,6165767
,4956444,5917621,5806436,6131252
,4955253,5917621,5732989,6062721
,4886837,5908011,5623700,6027464
,4804499,5844565,5620904,6011093
,4798495,5754342,5614896,5980897
,4764666,5706278,5614896,5910266
,4764666,5641860,5614896,5898479
,4764666,5641860,5614896,5892015
,4764666,5641860,5614896,5801548
,4708586,5641860,5612002,5672160
,4564360,5554089,5520746,5623372
,4558785,5494866,5513828,5537187
,4473307,5430814,5513828,5507079
,4472693,5382999,5477948,5414407
,4336084,5289359,5318544,5405881
,4330796,5276151,5269962,5354397
,4315596,5244696,5250860,5308575
,4266742,5158982,5244493,5308575
,4252039,5024912,5221854,5274030
,4249749,5012414,5198978,5213864
,4216729,4970801,5169298,5171112
,4204287,4970801,5053407,5158377
,4169083,4901352,5053407,5148458
,4169083,4896597,5053407,5062129
,4169083,4852449,5006241,4977118
,4147624,4773674,4994895,4953146
,4147624,4762028,4982659,4869357
,4119530,4734096,4910833,4865293
,4114384,4734096,4882265,4808825
,4037340,4699357,4882265,4728015
,4023246,4667835,4776432,4705526
,3955898,4656363,4755997,4700522
,3913125,4650123,4743673,4633612
,3908122,4645332,4739065,4633612
,3834937,4627463,4733492,4568742
,3752174,4612710,4665305,4509561
,3643540,4582860,4612242,4503871
,3573499,4580676,4590631,4491762
,3573499,4535075,4553338,4472897
,3573499,4523713,4548066,4470386
,3531618,4514873,4518419,4434142
,3527187,4502303,4496723,4391252
,3462891,4451335,4491917,4340274
,3461292,4423445,4491917,4295408
,3424604,4399159,4491917,4267372
,3355230,4308264,4470076,4246737
,3351085,4297613,4432174,4227127
,3292622,4287908,4424745,4226884
,3275708,4287908,4423211,4223258
,3253925,4287908,4382358,4219224
,3204143,4218971,4292296,4157150
,3200140,4215924,4272217,4141588
,3140248,4202457,4266345,4123174
,3127666,4192113,4231770,4118767
,3126812,4161607,4210498,4118767
,3101775,4142334,4190958,4053855
,3075782,4142334,4112323,4034950
,3071780,4142334,4077762,4034703
,3055048,4142334,4000277,4017238
,3055048,4131871,3930427,3988020
,3055048,4093100,3930427,3961115
,3055048,4082448,3873605,3955115
,3055048,4080172,3799757,3917318
,3055048,3991837,3767863,3851211
,3055048,3991820,3705831,3832553
,3055048,3905630,3705831,3720976
,3055048,3905630,3680093,3658330
,3055048,3888019,3680093,3641154
,3055048,3886319,3662574,3628387
,3014461,3787277,3610019,3603921
,2984817,3751000,3559112,3567882
,2977916,3693873,3537384,3535261
,2952711,3693873,3496014,3535261
,2949138,3684500,3481236,3525407
,2893820,3611916,3479439,3495867
,2849252,3602837,3429309,3475580
,2834786,3564181,3368938,3458899
,2831212,3550572,3368938,3358319
,2801430,3550572,3321233,3313168
,2785955,3508960,3258032,3301727
,2778181,3500296,3194235,3300293
,2777315,3427154,3189441,3295013
,2765573,3424681,3171653,3295013
,2763559,3366450,3111281,3286158
,2745707,3342651,3062229,3215317
,2721577,3333703,3044711,3190397
,2718004,3268799,3024173,3138129
,2718004,3254691,2986765,3136647
,2691902,3254691,2966564,3089075
,2680124,3208865,2966564,3046940
,2667260,3183585,2966564,3012466
,2612800,3137570,2966564,2995641
,2593745,3099894,2966564,2995414
,2589975,3080618,2966564,2992130
,2589965,3056048,2966564,2992130
,2571763,3035447,2966564,2992130
,2560484,3035447,2966564,2992130
,2508025,3035447,2966564,2992130
,2457996,3035447,2966564,2992130
,2424977,3035447,2966564,2992130
,2421832,3035447,2966564,2992130
,2416393,3035447,2966564,2992130
,2416393,3012447,2939735,2992130
,2416393,2957343,2923025,2984296
,2382333,2933767,2867235,2928885
,2382333,2891870,2822092,2924489
,2382333,2878748,2807448,2891992
,2376520,2839464,2806055,2883136
,2354936,2821420,2752691,2875558
,2352077,2816598,2709569,2807845
,2340356,2776121,2696876,2798075
,2337497,2766067,2696876,2776460
,2323489,2759496,2696876,2760644
,2320487,2759496,2696876,2754159
,2307909,2759496,2683517,2720118
,2303906,2745828,2683517,2706644
,2294044,2745828,2683517,2706644
,2277034,2725703,2683517,2702940
,2260596,2702026,2683517,2695527
,2242808,2665343,2683517,2665501
,2242808,2662929,2642729,2650179
,2242808,2662929,2642729,2558990
,2198061,2657485,2613420,2544533
,2198061,2616346,2605312,2536635
,2080336,2596036,2601089,2536635
,2069229,2573358,2586266,2536635
,2069229,2573358,2550336,2516135
,2069229,2556412,2537079,2480414
,2069229,2534769,2521537,2456309
,2052439,2529712,2515271,2442593
,2027944,2491933,2514961,2399882
,2024073,2485400,2514961,2385668
,1999794,2473613,2514575,2385013
,1997270,2441941,2482503,2375004
,1959894,2435976,2470554,2368291
,1959894,2423904,2435337,2366628
,1959894,2409418,2427252,2366628
,1959894,2402459,2426929,2366628
,1930361,2400890,2409599,2366628
,1930361,2400890,2400301,2344608
,1927927,2400890,2391971,2333938
,1927927,2388893,2354752,2310742
,1927927,2387547,2346406,2306427
,1927927,2375401,2346406,2305685
,1927927,2370362,2346406,2300701
,1927927,2367048,2331170,2292093
,1927927,2367048,2317020,2275660
,1927927,2367048,2299906,2266887
,1927927,2353177,2289689,2265321
,1891847,2345329,2286700,2259102
,1891847,2339840,2283196,2259061
,1891847,2339840,2272550,2239456
,1857876,2339827,2256245,2225616
,1786749,2325341,2245958,2224134
,1786749,2308582,2245958,2209430
,1722066,2291823,2245958,2201645
,1722066,2248696,2245958,2196618
,1722066,2228418,2245958,2196618
,1722066,2228418,2245958,2196618
,1722066,2228418,2239804,2196618
,1687706,2207918,2220142,2193490
,1687706,2158751,2199349,2188300
,1687706,2158751,2177850,2172114
,1687706,2158751,2177850,2156298
,1687706,2110882,2171739,2096779
,1687706,2106853,2163794,2096779
,1687706,2086311,2162191,2059383
,1687706,2086311,2145856,2059383
,1687706,2086311,2145856,2059383
,1687706,2086311,2135485,2059383
,1687706,2074658,2099339,2059383
,1687706,2074658,2094969,2057033
,1687706,2055953,2088027,2026613
,1687706,2055953,2073848,2026613
,1687706,2055953,2023672,2026613
,1687706,2055953,2023672,2026613
,1687706,2040049,2009297,2026613
,1687706,2033272,2009297,2026613
,1687706,2013876,2009297,2026613
,1687706,2013876,2009297,2026613
,1687706,2013876,2009297,1988006
,1667633,1995794,2006627,1988006
,1667633,1986964,2001846,1988006
,1537748,1986964,2001846,1988006
,1494834,1986964,2001846,1988006
,1462783,1986964,2001846,1988006
,1397607,1969219,2001846,1967596
,1254190,1969219,2001846,1958610
,1191166,1969219,2001846,1958610
,1191166,1969219,2001846,1958087
,1075755,1969219,2001846,1938519
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1934502
,1070036,1969219,2001846,1901570
,1070036,1969219,2001846,1890606
,1070036,1917976,1979583,1890606
,1070036,1917976,1979583,1890606
,1070036,1917976,1952933,1890606
,1070036,1917976,1941874,1890606
,1070036,1917976,1941874,1869587
,1070036,1796567,1941874,1869587
,1070036,1796567,1941874,1869587
,1070036,1796567,1941874,1837999
,1070036,1796567,1941874,1835550
,1070036,1796567,1910853,1835550
,1070036,1796567,1910853,1835550
,1070036,1796567,1909064,1835550
,1070036,1796567,1898404,1835550
,1003351,1796567,1874452,1835550
,1001088,1796567,1874452,1835550
,997700,1796567,1874452,1835550
,888674,1796567,1874452,1804676
,856168,1796567,1874452,1804676
,719795,1796567,1818120,1760052
,708889,1796567,1813414,1754493
,689176,1796567,1800763,1724377
,671038,1796567,1800763,1688531
,622668,1796567,1762154,1686600
,610736,1796567,1704921,1686600
,575470,1796567,1704661,1621764
,574313,1796567,1704661,1609941
,556177,1796567,1704661,1609941
,546077,1796567,1704661,1609941
,517804,1796567,1704661,1609941
,454263,1796567,1704661,1609941
,447146,1796567,1704661,1609941
,446687,1796567,1704661,1609941
,417133,1796567,1704661,1609941
,417133,1796567,1704661,1609941
,417133,1775286,1704661,1609941
,345203,1760235,1704661,1609941
,297791,1724000,1704661,1609941
,292652,1711017,1704661,1609941
,273039,1711017,1704661,1609941
,235771,1711017,1704661,1609941
,233811,1711017,1684469,1609941
,233811,1711017,1672189,1550680
,225964,1597757,1672189,1544537
,223679,1538581,1635806,1504436
,218120,1526564,1537355,1338599
,218120,1485906,1512289,1318217
,218120,1479405,1466342,1235630
,218120,1462703,1451900,1195425
,194584,1413769,1403724,1149251
,194584,1379186,1395122,1138346
,192069,1264240,1311961,1099916
,185401,1256053,1224055,1048000
,154337,1229776,1199566,1048000
,126479,1201163,1192944,1048000
,120908,1183524,1187281,1048000
,109059,1183524,1129305,1048000
,109059,1183524,1127178,1048000
,107021,1182577,1122080,1043199
,97292,1117203,1115971,1029692
,94778,1082980,1062631,1028868
,94778,1078066,1039045,1009156
,94778,1063171,1039045,904007
,94778,1063171,1039045,878574
,94778,1063171,1039045,863798
,94778,1063171,1039045,848506
,94778,1063171,1039045,830030
,94778,1063171,1039045,823138
,94778,1063171,1039045,807951
,94778,1063171,1039045,766010
,94778,1063171,1039045,734744
,94778,1063171,1039045,723163
,94778,950422,1039045,715510
,94778,949401,1036597,672212
,94778,873436,1022949,652760
,94778,842998,1005206,647471
,94778,827419,975956,630338
,94778,821075,947806,593339
,94778,820348,915135,571702
,94778,814326,912267,554300
,94778,811116,912266,547057
,94778,789015,910975,536046
,94778,782013,870002,527012
,94778,773934,863380,524000
,94778,765856,827711,524000
,94778,735663,815426,524000
,94778,727675,812745,524000
,94778,720917,794948,524000
,94778,707111,748652,524000
,94778,701081,708457,524000
,94778,685073,695683,524000
,94778,637198,688165,524000
,94778,636603,644114,524000
,94778,633533,632981,524000
,94778,629892,627009,524000
,94778,626487,615056,524000
,94778,618970,600785,524000
,94778,616008,597871,524000
,94778,611687,586210,524000
,94778,604290,573738,524000
,94778,596212,561322,524000
,94778,595261,552366,524000
,94778,578918,538636,524000
,94778,557073,520176,524000
,94778,557073,520176,524000
,94778,543727,519522,524000
,94778,531538,519522,524000
,94778,531538,519522,524000
,94778,531538,519522,524000
,94778,531538,519522,524000
,78590,531538,519522,524000
