name,overall,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_%,3-point_field_goals,3-point_field_goal_attempts,3-point_field_goal_%,2-point_field_goals,2-point_field_goal_attempts,2-point_field_goal_%,effective_field_goal_%,free_throws,free_throw_attempts,free_throw_%,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,salary,salary_adjusted
Josh Green,72,78,210,68,48,77,60,59,59,20,39,5,445,42,93,0.452,4,25,0.16,38,68,0.559,0.473,13,23,0.565,28,50,78,28,16,3,17,35,101,2816760,3333703
Cole Anthony,72,75,195,74,59,77,74,57,53,20,47,34,1273,219,552,0.397,58,172,0.337,161,380,0.424,0.449,109,131,0.832,38,183,221,192,30,18,106,98,605,3285120,3888019
Talen Horton-Tucker,72,76,235,66,53,69,65,62,44,20,65,4,1304,224,489,0.458,37,131,0.282,187,358,0.522,0.496,100,129,0.775,25,144,169,181,63,21,105,127,585,1517981,1796567
Chimezie Metu,72,81,225,64,63,67,43,54,78,23,36,6,488,91,179,0.508,13,37,0.351,78,142,0.549,0.545,31,43,0.721,31,81,112,28,14,18,29,59,226,910895,1078066
Justin James,72,79,190,65,59,65,60,58,47,24,36,0,310,52,111,0.468,14,38,0.368,38,73,0.521,0.532,21,36,0.583,9,21,30,22,8,3,15,23,139,1517981,1796567
KZ Okpala,72,80,210,63,59,72,60,56,50,21,37,9,447,36,96,0.375,12,50,0.24,24,46,0.522,0.438,8,15,0.533,21,47,68,19,10,11,15,59,92,1517981,1796567
Solomon Hill,72,78,225,70,56,67,57,60,46,29,71,16,1513,107,298,0.359,68,212,0.321,39,86,0.453,0.473,35,46,0.761,42,172,214,75,50,11,42,116,317,2174318,2573358
John Konchar,72,77,210,75,47,66,64,53,64,24,43,0,575,69,138,0.5,21,56,0.375,48,82,0.585,0.576,25,30,0.833,35,93,128,47,30,9,18,40,184,2100000,2485400
Aaron Nesmith,72,78,215,73,52,65,60,54,38,21,46,1,669,78,178,0.438,40,108,0.37,38,70,0.543,0.551,22,28,0.786,28,99,127,23,15,9,23,87,218,3458400,4093100
Semi Ojeleye,72,78,241,64,64,78,52,50,45,26,56,15,950,89,221,0.403,58,158,0.367,31,63,0.492,0.534,24,32,0.75,31,116,147,37,17,0,21,56,260,1752950,2074658
Tyrese Maxey,72,75,200,72,52,70,74,62,40,20,61,8,935,198,429,0.462,31,103,0.301,167,326,0.512,0.498,61,70,0.871,11,93,104,120,26,13,41,79,488,2478840,2933767
Hamidou Diallo,71,77,198,56,53,75,60,56,53,66,104,18,2452,448,940,0.477,56,164,0.341,392,776,0.505,0.506,256,400,0.64,118,426,544,202,82,48,152,268,1208,1663861,1969219
Grant Williams,71,78,240,66,58,69,57,60,53,22,63,9,1138,108,247,0.437,48,129,0.372,60,118,0.508,0.534,30,51,0.588,48,130,178,64,32,24,56,161,294,2498760,2957343
Terrance Ferguson,71,78,190,66,60,66,60,59,36,22,13,0,49,1,7,0.143,0,5,0.0,1,2,0.5,0.143,0,0,,0,1,1,2,1,0,4,7,2,3944013,4667835
Jaylen Nowell,71,76,202,68,48,71,68,46,38,21,42,0,759,142,335,0.424,50,150,0.333,92,185,0.497,0.499,45,55,0.818,19,76,95,62,22,12,28,72,379,1517981,1796567
Jarred Vanderbilt,71,81,214,55,57,69,50,59,67,21,64,30,1139,143,236,0.606,1,5,0.2,142,231,0.615,0.608,57,102,0.559,118,250,368,76,64,46,53,123,344,1663861,1969219
Keita Bates-Diop,71,80,229,63,60,70,54,55,50,25,30,0,245,30,67,0.448,5,17,0.294,25,50,0.5,0.485,14,21,0.667,9,40,49,12,11,5,7,11,79,449115,531538
Quinndary Weatherspoon,71,75,207,65,50,74,69,53,45,24,20,0,121,16,35,0.457,1,6,0.167,15,29,0.517,0.471,13,16,0.812,3,8,11,8,8,2,10,18,46,449115,531538
Sterling Brown,71,77,232,69,53,65,58,52,58,25,51,14,1229,150,335,0.448,91,215,0.423,59,120,0.492,0.584,25,31,0.806,38,186,224,72,38,12,41,97,416,1678854,1986964
Malachi Flynn,71,74,185,70,43,68,73,59,36,22,47,14,928,127,340,0.374,54,168,0.321,73,172,0.424,0.453,45,56,0.804,10,106,116,137,38,7,43,68,353,1950600,2308582
Wenyen Gabriel,71,81,205,59,56,70,51,58,61,23,21,0,241,24,60,0.4,13,32,0.406,11,28,0.393,0.508,11,17,0.647,20,34,54,11,9,8,15,32,72,1620564,1917976
Edmond Sumner,71,76,176,64,56,74,65,55,42,25,53,24,861,148,282,0.525,35,88,0.398,113,194,0.582,0.587,68,83,0.819,18,76,94,49,33,10,51,88,399,2160000,2556412
Zeke Nnaji,71,83,240,65,70,77,38,50,72,20,42,1,397,50,104,0.481,24,59,0.407,26,45,0.578,0.596,12,15,0.8,14,51,65,10,8,4,7,29,136,2379840,2816598
Vlatko Cancar,71,80,215,69,53,63,54,47,60,23,41,1,281,33,72,0.458,9,33,0.273,24,39,0.615,0.521,10,13,0.769,11,39,50,14,11,2,14,18,85,1517981,1796567
Chris Chiozza,71,71,175,70,43,67,72,57,45,25,22,1,232,31,88,0.352,13,42,0.31,18,46,0.391,0.426,13,17,0.765,3,21,24,65,7,6,16,19,88,449115,531538
Rodions Kurucs,71,81,210,70,50,65,54,49,52,88,42,0,250,22,64,0.344,12,42,0.286,10,22,0.455,0.438,6,8,0.75,10,36,46,20,18,8,26,32,62,1780152,2106853
Tyrell Terry,71,74,185,74,43,70,71,45,39,20,11,0,56,5,16,0.312,0,7,0.0,5,9,0.556,0.312,1,3,0.333,0,6,6,6,5,0,2,2,11,1289846,1526564
Jordan Bone,71,75,179,67,47,74,65,56,39,23,14,0,196,23,54,0.426,10,32,0.312,13,22,0.591,0.519,0,0,,4,20,24,18,2,0,3,11,56,135350,160190
Khem Birch,71,81,233,58,58,73,32,58,72,84,134,44,3058,378,760,0.497,26,104,0.25,352,656,0.537,0.514,182,258,0.705,348,426,774,178,96,100,88,226,964,3011499,3564181
Dwayne Bacon,71,78,221,67,59,71,57,48,47,25,72,50,1853,292,726,0.402,59,207,0.285,233,519,0.449,0.443,145,176,0.824,31,193,224,93,45,5,46,103,788,1678854,1986964
Alfonzo McKinnie,71,79,215,62,59,69,46,58,58,28,39,0,258,48,93,0.516,16,39,0.41,32,54,0.593,0.602,10,18,0.556,22,32,54,6,7,0,5,26,122,1762796,2086311
Ignas Brazdeikis,71,78,221,71,46,66,59,49,54,88,26,0,498,70,166,0.422,22,56,0.393,48,110,0.436,0.488,20,28,0.714,22,68,90,34,8,6,24,44,182,1686315,1995794
Immanuel Quickley,71,75,190,74,51,73,63,53,39,21,64,3,1243,229,580,0.395,118,303,0.389,111,277,0.401,0.497,155,174,0.891,25,112,137,127,30,12,58,114,731,2105520,2491933
Udoka Azubuike,71,84,270,48,56,78,33,58,75,21,15,0,57,4,9,0.444,0,0,,4,9,0.444,0.444,8,10,0.8,4,9,13,0,1,4,3,9,16,1977000,2339827
Miye Oni,71,77,206,67,50,71,62,59,53,23,54,0,519,35,99,0.354,30,88,0.341,5,11,0.455,0.505,5,6,0.833,23,61,84,28,11,8,16,61,105,1517981,1796567
Jalen McDaniels,71,82,192,63,61,65,51,50,60,23,47,18,904,133,284,0.468,35,105,0.333,98,179,0.547,0.53,45,64,0.703,45,124,169,53,28,19,45,95,346,1517981,1796567
Cody Martin,71,77,205,70,50,64,63,57,53,25,52,10,849,83,188,0.441,16,58,0.276,67,130,0.515,0.484,25,43,0.581,52,109,161,86,37,12,40,52,207,1517981,1796567
Udonis Haslem,71,80,235,62,57,63,37,57,66,40,1,0,3,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,0,1,1,0,0,0,0,0,4,2564753,3035447
Brandon Goodwin,71,72,180,69,47,73,72,53,55,25,47,5,620,84,223,0.377,32,103,0.311,52,120,0.433,0.448,28,43,0.651,8,61,69,95,17,0,36,41,228,1701593,2013876
Jontay Porter,71,83,240,64,58,62,43,47,58,21,11,0,54,8,15,0.533,3,8,0.375,5,7,0.714,0.633,3,5,0.6,4,10,14,1,3,1,7,12,22,1900000,2248696
Daniel Oturu,71,81,240,61,66,64,41,60,73,21,30,0,161,22,52,0.423,1,5,0.2,21,47,0.447,0.433,9,12,0.75,21,27,48,10,4,7,9,24,54,898310,1063171
Mfiondu Kabengele,71,81,256,68,61,73,43,58,67,69,78,0,560,66,178,0.371,26,100,0.26,40,78,0.513,0.444,32,40,0.8,24,96,120,34,16,26,30,72,190,2432353,2878748
Tremont Waters,71,70,172,63,42,74,76,59,38,23,26,3,238,34,84,0.405,15,38,0.395,19,46,0.413,0.494,16,17,0.941,5,16,21,62,15,1,27,17,99,712278,842998
Matthew Dellavedova,71,75,200,68,39,66,73,57,39,30,13,1,224,14,56,0.25,4,25,0.16,10,31,0.323,0.286,4,4,1.0,6,18,24,58,4,1,6,21,36,2174318,2573358
Cristiano Felicio,71,82,265,60,63,73,37,49,73,28,18,0,84,7,13,0.538,0,2,0.0,7,11,0.636,0.538,9,16,0.562,10,16,26,9,4,0,4,10,23,7529020,8910777
Ryan Arcidiacono,71,75,200,69,43,64,73,49,43,26,44,0,450,49,117,0.419,25,67,0.373,24,50,0.48,0.526,13,20,0.65,5,62,67,56,9,0,10,47,136,3000000,3550572
Jaylen Adams,71,74,190,70,41,71,73,47,45,24,7,0,18,1,8,0.125,0,2,0.0,1,6,0.167,0.125,0,0,,0,3,3,2,0,0,0,1,2,449115,531538
Marques Bolden,70,82,249,58,63,69,30,54,70,22,6,0,29,1,3,0.333,0,0,,1,3,0.333,0.333,5,8,0.625,3,3,6,0,2,2,2,0,7,449115,531538
Ty Jerome,70,77,194,66,50,69,74,56,44,23,33,1,788,128,287,0.446,71,168,0.423,57,119,0.479,0.57,26,34,0.765,10,81,91,120,20,6,47,61,353,2303040,2725703
Kenrich Williams,70,78,210,64,57,68,56,56,60,26,66,13,1426,219,411,0.533,52,117,0.444,167,294,0.568,0.596,36,63,0.571,84,189,273,152,55,17,76,143,526,2000000,2367048
Theo Maledon,70,77,180,70,50,70,77,49,40,19,65,49,1778,226,614,0.368,105,313,0.335,121,301,0.402,0.454,101,135,0.748,25,186,211,227,56,11,141,126,658,2000000,2367048
Isaiah Roby,70,80,230,66,59,67,45,55,53,22,61,34,1425,207,429,0.483,32,109,0.294,175,320,0.547,0.52,87,117,0.744,89,252,341,107,52,37,113,162,533,1517981,1796567
Tre Jones,70,75,190,62,43,73,77,66,47,21,37,1,269,37,78,0.474,3,5,0.6,34,73,0.466,0.494,17,19,0.895,8,13,21,39,8,0,13,13,94,898310,1063171
Kelan Martin,70,77,235,69,48,62,54,50,52,25,35,0,322,62,138,0.449,24,60,0.4,38,78,0.487,0.536,9,10,0.9,18,60,78,17,10,10,16,35,157,1445697,1711017
Tyler Bey,70,79,215,60,61,81,56,66,43,22,18,0,71,7,22,0.318,1,4,0.25,6,18,0.333,0.341,3,5,0.6,8,11,19,3,0,1,3,6,18,449115,531538
Theo Pinson,70,77,218,62,55,68,59,62,45,25,17,0,34,1,9,0.111,0,8,0.0,1,1,1.0,0.111,0,0,,0,5,5,1,0,0,1,4,2,802182,949401
DaQuan Jeffries,70,77,216,68,62,71,55,51,56,69,62,10,986,100,240,0.417,40,134,0.299,60,106,0.566,0.5,14,16,0.875,38,104,142,44,30,20,28,96,254,1445697,1711017
Kyle Guy,70,73,170,74,53,69,62,48,39,23,31,0,235,29,88,0.33,13,46,0.283,16,42,0.381,0.403,16,20,0.8,5,30,35,32,6,0,11,20,87,537888,636603
Elijah Hughes,70,78,215,72,59,73,58,52,43,22,18,0,64,10,30,0.333,8,23,0.348,2,7,0.286,0.467,3,4,0.75,1,8,9,6,1,1,6,1,31,898310,1063171
Juwan Morgan,70,80,232,62,58,62,43,58,67,23,29,0,147,14,30,0.467,4,13,0.308,10,17,0.588,0.533,3,7,0.429,9,19,28,9,4,1,4,21,35,1517981,1796567
Caleb Martin,70,77,205,72,50,63,52,56,47,25,53,3,818,96,256,0.375,31,125,0.248,65,131,0.496,0.436,41,64,0.641,31,110,141,67,37,12,33,62,264,1517981,1796567
Max Strus,70,77,215,68,51,65,58,47,36,24,39,0,507,85,187,0.455,50,148,0.338,35,39,0.897,0.588,16,24,0.667,5,36,41,24,11,2,8,43,236,647098,765856
Desmond Bane,70,78,215,70,55,66,69,51,46,22,68,17,1519,234,499,0.469,117,271,0.432,117,228,0.513,0.586,40,49,0.816,31,179,210,118,41,16,59,125,625,1936440,2291823
Amir Coffey,70,79,205,60,48,68,66,53,41,23,44,1,394,45,103,0.437,23,56,0.411,22,47,0.468,0.549,27,38,0.711,10,34,44,22,10,0,15,30,140,578842,685073
Romeo Langford,70,76,215,62,53,73,63,52,44,21,18,4,283,21,59,0.356,5,18,0.278,16,41,0.39,0.398,9,12,0.75,12,23,35,13,6,5,10,24,56,3631200,4297613
Tacko Fall,70,89,289,49,56,45,38,51,76,25,19,0,136,21,29,0.724,0,0,,21,29,0.724,0.724,5,15,0.333,16,36,52,3,1,20,6,22,47,653924,773934
Payton Pritchard,70,74,206,72,49,69,73,47,37,23,66,4,1268,184,418,0.44,102,248,0.411,82,170,0.482,0.562,40,45,0.889,33,125,158,120,37,9,53,104,510,2035800,2409418
Carsen Edwards,70,71,199,72,50,66,69,49,44,22,31,1,276,47,111,0.423,18,63,0.286,29,48,0.604,0.505,11,13,0.846,3,23,26,14,7,1,7,25,123,1517981,1796567
Dean Wade,70,81,228,62,63,67,44,51,62,24,63,19,1212,134,311,0.431,78,213,0.366,56,98,0.571,0.556,30,39,0.769,38,177,215,74,35,21,30,78,376,1517981,1796567
Cassius Winston,69,73,200,76,39,61,73,42,38,22,22,0,98,14,33,0.424,8,17,0.471,6,16,0.375,0.545,5,6,0.833,0,9,9,12,2,1,5,8,41,449115,531538
Anthony Gill,69,80,230,65,64,70,46,52,56,28,26,4,218,30,60,0.5,7,24,0.292,23,36,0.639,0.558,13,16,0.812,16,35,51,11,10,4,8,27,80,898310,1063171
Nico Mannion,69,75,190,70,49,71,76,51,41,19,30,1,364,39,114,0.342,22,60,0.367,17,54,0.315,0.439,23,28,0.821,6,40,46,70,16,1,31,29,123,449115,531538
Mychal Mulder,69,75,184,67,44,70,71,49,38,26,60,6,766,119,265,0.449,85,214,0.397,34,51,0.667,0.609,14,22,0.636,8,52,60,26,12,12,16,56,337,1517981,1796567
Moses Brown,69,86,245,43,55,57,41,56,72,21,43,32,920,146,268,0.545,0,0,,146,268,0.545,0.545,78,126,0.619,154,229,383,10,31,47,43,93,370,1250000,1479405
Drew Eubanks,69,81,245,60,64,69,39,52,66,23,54,3,755,116,205,0.566,2,2,1.0,114,203,0.562,0.571,77,106,0.726,74,167,241,42,18,49,45,88,311,1620564,1917976
Jae'Sean Tate,69,76,230,60,67,73,57,59,68,25,70,58,2043,316,625,0.506,60,195,0.308,256,430,0.595,0.554,102,147,0.694,132,242,374,178,85,36,98,222,794,1445697,1711017
Paul Watson,69,78,215,65,48,67,58,51,59,26,27,2,297,38,82,0.463,30,64,0.469,8,18,0.444,0.646,5,8,0.625,4,41,45,17,6,3,9,36,111,1445697,1711017
Deividas Sirvydis,69,80,190,66,52,61,63,52,52,20,20,0,133,14,40,0.35,10,28,0.357,4,12,0.333,0.475,3,6,0.5,0,29,29,5,2,0,5,9,41,898310,1063171
Will Magnay,69,82,234,57,60,70,49,59,70,22,1,0,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,1,1,0,341481,404151
Cassius Stanley,69,78,195,63,61,77,56,46,48,21,24,0,93,13,43,0.302,3,13,0.231,10,30,0.333,0.337,7,9,0.778,8,12,20,1,1,2,1,14,36,470690,557073
Jalen Lecque,69,75,185,60,50,72,70,48,37,20,4,0,12,1,9,0.111,0,1,0.0,1,8,0.125,0.111,3,3,1.0,2,3,5,2,0,0,0,0,5,1517981,1796567
Reggie Perry,69,81,250,61,64,73,49,49,73,20,26,0,211,32,78,0.41,4,21,0.19,28,57,0.491,0.436,10,13,0.769,27,46,73,14,6,6,15,40,78,489148,578918
Kostas Antetokounmpo,69,82,200,54,63,66,35,51,68,23,15,0,56,3,10,0.3,0,0,,3,10,0.3,0.3,6,13,0.462,4,15,19,1,2,4,11,8,12,449115,531538
Jared Harper,69,70,175,66,48,76,72,48,38,23,8,0,16,0,4,0.0,0,1,0.0,0,3,0.0,0.0,3,4,0.75,0,2,2,1,0,0,3,1,3,520487,616008
Jahmi'us Ramsey,69,76,195,62,50,65,66,57,51,19,13,0,94,15,38,0.395,5,19,0.263,10,19,0.526,0.461,5,5,1.0,2,8,10,6,4,1,3,8,40,1000000,1183524
Grant Riller,69,75,190,70,48,73,75,44,38,23,7,0,27,8,12,0.667,2,4,0.5,6,8,0.75,0.75,0,0,,0,1,1,3,1,0,1,0,18,449115,531538
Nick Richards,69,84,247,51,59,74,37,55,72,23,18,0,63,4,9,0.444,0,1,0.0,4,8,0.5,0.444,7,11,0.636,4,7,11,2,0,0,3,7,15,1000000,1183524
Gabe Vincent,69,75,200,69,42,64,58,48,39,24,50,7,655,88,233,0.378,46,149,0.309,42,84,0.5,0.476,20,23,0.87,10,46,56,67,21,2,34,79,242,660750,782013
Adam Mokoka,69,77,190,63,51,73,57,53,46,22,14,0,56,7,19,0.368,1,10,0.1,6,9,0.667,0.395,0,1,0.0,1,4,5,5,2,1,5,5,15,449115,531538
Jordan Nwora,69,80,225,66,55,63,47,51,63,22,30,2,274,62,135,0.459,28,62,0.452,34,73,0.466,0.563,19,25,0.76,9,51,60,7,16,7,24,22,171,898310,1063171
Thanasis Antetokounmpo,69,78,216,62,54,69,54,49,45,28,57,3,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166,1701593,2013876
Paul Reed,69,81,220,60,58,61,43,58,71,21,26,0,177,42,78,0.538,0,6,0.0,42,72,0.583,0.538,4,8,0.5,30,31,61,12,10,13,12,29,88,609128,720917
Isaiah Joe,69,77,180,71,49,71,52,54,43,21,41,1,383,48,133,0.361,39,106,0.368,9,27,0.333,0.508,18,24,0.75,6,30,36,20,12,4,11,34,153,898310,1063171
Keljin Blevins,68,78,200,61,52,73,61,62,54,25,17,0,75,5,20,0.25,2,8,0.25,3,12,0.25,0.3,0,0,,3,7,10,4,2,0,5,8,12,449115,531538
Ashton Hagans,68,75,190,60,50,72,73,58,35,21,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,166111,196596
Yuta Watanabe,68,80,205,61,50,69,58,55,51,26,50,4,723,79,180,0.439,36,90,0.4,43,90,0.478,0.539,24,29,0.828,36,123,159,40,26,19,19,57,218,737996,873436
Jalen Harris,68,77,195,68,48,79,64,42,32,22,13,2,172,36,72,0.5,17,36,0.472,19,36,0.528,0.618,7,9,0.778,3,15,18,17,8,0,14,15,96,449115,531538
Saben Lee,68,74,183,67,49,70,67,48,39,21,48,7,781,99,210,0.471,8,23,0.348,91,187,0.487,0.49,61,89,0.685,20,77,97,174,32,13,55,76,267,516836,611687
Naji Marshall,68,79,220,63,60,69,66,53,54,23,32,10,700,82,209,0.392,29,83,0.349,53,126,0.421,0.462,53,75,0.707,15,133,148,88,26,10,38,58,246,538391,637198
Greg Whittington,68,81,210,63,58,74,48,46,69,27,4,0,12,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,332252,393228
Markus Howard,68,71,175,71,44,75,70,40,32,21,37,1,205,40,106,0.377,18,65,0.277,22,41,0.537,0.462,7,9,0.778,1,20,21,18,4,1,18,23,105,535294,633533
Jarrell Brantley,68,77,250,65,60,65,54,49,60,24,28,0,138,25,52,0.481,12,28,0.429,13,24,0.542,0.596,2,2,1.0,9,18,27,15,7,2,8,17,64,510586,604290
Skylar Mays,68,76,205,66,51,68,67,56,45,23,33,0,269,44,98,0.449,14,40,0.35,30,58,0.517,0.52,22,25,0.88,10,25,35,30,14,2,9,15,124,532218,629892
Lamar Stevens,68,79,230,63,64,78,59,54,63,23,40,0,499,62,136,0.456,4,25,0.16,58,111,0.523,0.471,37,51,0.725,24,72,96,25,17,13,23,53,165,1000000,1183524
Devon Dotson,68,74,185,67,47,82,73,50,55,21,11,0,50,11,21,0.524,1,7,0.143,10,14,0.714,0.548,0,0,,2,3,5,7,4,0,0,3,23,449115,531538
Josh Hall,67,81,190,52,62,69,47,47,67,20,21,1,336,30,99,0.303,4,37,0.108,26,62,0.419,0.323,22,44,0.5,6,53,59,28,4,1,25,37,86,449115,531538
Ty-Shon Alexander,67,76,195,65,50,68,62,56,41,22,15,0,47,3,12,0.25,2,9,0.222,1,3,0.333,0.333,1,2,0.5,2,8,10,6,0,1,3,2,9,449115,531538
Mason Jones,67,77,215,67,53,63,62,59,36,66,64,2,668,104,246,0.423,48,132,0.364,56,114,0.491,0.52,80,128,0.625,14,96,110,84,14,2,58,48,336,424544,502457
Nate Hinton,67,77,210,63,58,77,57,51,58,21,21,0,93,15,42,0.357,4,19,0.211,11,23,0.478,0.405,7,10,0.7,1,8,9,8,7,2,5,8,41,449115,531538
Karim Mane,67,77,190,54,54,81,66,58,46,20,10,0,88,3,13,0.231,1,2,0.5,2,11,0.182,0.269,4,5,0.8,1,13,14,4,0,2,3,10,11,344557,407791
Trent Forrest,67,76,210,64,61,76,70,57,60,22,30,0,302,32,71,0.451,5,26,0.192,27,45,0.6,0.486,19,19,1.0,11,33,44,45,9,4,21,22,88,470690,557073
Nate Darling,67,77,200,70,54,63,62,42,42,22,7,0,26,2,7,0.286,2,7,0.286,0,0,,0.429,3,3,1.0,1,0,1,1,0,1,1,1,9,449115,531538
Nathan Knight,67,82,253,62,61,68,45,50,72,23,33,0,279,37,100,0.37,6,33,0.182,31,67,0.463,0.4,44,55,0.8,27,45,72,8,9,10,15,22,124,522989,618970
Killian Tillie,67,82,220,68,66,64,48,45,54,22,18,1,182,19,57,0.333,10,33,0.303,9,24,0.375,0.421,9,11,0.818,6,18,24,8,5,8,2,20,57,449115,531538
Sean McDermott,67,78,195,67,53,60,53,43,42,24,18,0,158,13,33,0.394,5,22,0.227,8,11,0.727,0.47,8,8,1.0,6,13,19,4,2,3,4,8,39,449115,531538
Jay Scrubb,67,78,210,62,55,72,58,53,51,20,4,1,84,14,36,0.389,2,9,0.222,12,27,0.444,0.417,5,5,1.0,2,12,14,1,4,0,7,5,35,449115,531538
Sam Merrill,67,77,205,69,48,61,66,50,42,24,30,2,233,32,72,0.444,21,47,0.447,11,25,0.44,0.59,4,4,1.0,6,24,30,21,8,1,10,17,89,898310,1063171
Dakota Mathias,67,76,200,70,50,66,68,51,43,25,8,2,123,19,48,0.396,8,26,0.308,11,22,0.5,0.479,2,6,0.333,1,6,7,13,1,3,1,7,48,86132,101939
Brodric Thomas,66,77,185,68,54,69,56,59,47,72,64,2,798,78,216,0.361,32,118,0.271,46,98,0.469,0.435,62,92,0.674,16,90,106,60,30,20,44,80,250,412202,487850
