Player,Salary,Salary (adjusted)
Stephen Curry,40231758,47922728
Russell Westbrook,38506482,45867637
Chris Paul,38506482,45867637
James Harden,38199000,45501374
John Wall,38199000,45501374
LeBron James,37436858,44593536
Kevin Durant,37199000,44310208
Blake Griffin,34449964,41035648
Kyle Lowry,33296296,39661437
Paul George,33005556,39315117
Kemba Walker,32742000,39001178
Klay Thompson,32742000,39001178
Kawhi Leonard,32742000,39001178
Jimmy Butler,32742000,39001178
Tobias Harris,32742000,39001178
Gordon Hayward,32700690,38951971
Mike Conley,32511623,38726761
Kyrie Irving,31742000,37810011
Khris Middleton,30603448,36453806
Paul Millsap,30350000,36151907
Damian Lillard,29802321,35499530
Kevin Love,28942830,34475733
Nikola Vucevic,28000000,33352666
Al Horford,28000000,33352666
DeMar DeRozan,27739975,33042933
CJ McCollum,27556959,32824930
Nikola Jokic,27504630,32762598
Andrew Wiggins,27504630,32762598
Joel Embiid,27504630,32762598
Kristaps Porzingis,27285000,32500982
Karl-Anthony Towns,27285000,32500982
D'Angelo Russell,27285000,32500982
Devin Booker,27285000,32500982
Otto Porter,27250576,32459977
Anthony Davis,27093019,32272300
Andre Drummond,27093018,32272299
Hassan Whiteside,27093018,32272299
Bradley Beal,27093018,32272299
Jrue Holiday,26131111,31126508
LaMarcus Aldridge,26000000,30970332
Giannis Antetokounmpo,25842697,30782958
Steven Adams,25842697,30782958
Marc Gasol,25595700,30488744
Nicolas Batum,25565217,30452433
Rudy Gobert,25258427,30086995
Chandler Parsons,25102512,29901275
Harrison Barnes,24147727,28763967
Serge Ibaka,23271604,27720358
Danilo Gallinari,22615559,26938899
Victor Oladipo,21000000,25014499
Tim Hardaway Jr,20025127,23853263
Malcolm Brogdon,20000000,23823333
Terry Rozier,19894737,23697947
Aaron Gordon,19863636,23660900
Zach LaVine,19500000,23227749
Kent Bazemore,19269663,22953379
Goran Dragic,19217900,22891721
Jeff Teague,19000000,22632166
Evan Turner,18606556,22163509
Tristan Thompson,18539130,22083193
Draymond Green,18539130,22083193
Gary Harris,18189286,21666470
Myles Turner,18000000,21440999
Julius Randle,18000000,21440999
Derrick Favors,17650000,21024091
Andre Iguodala,17185185,20470419
Evan Fournier,17150000,20428508
Bismack Biyombo,17000000,20249833
Bojan Bogdanovic,17000000,20249833
Clint Capela,16896552,20126609
Gorgui Dieng,16229213,19331697
Ricky Rubio,16200000,19296899
Jonas Valanciunas,16000000,19058666
Brandon Knight,15643750,18634313
Eric Bledsoe,15625000,18611978
Kelly Oubre,15625000,18611978
Dennis Schroeder,15500000,18463083
Ian Mahinmi,15450051,18403585
James Johnson,15349400,18283693
Marcus Morris,15000000,17867499
Bobby Portis,15000000,17867499
Danny Green,14634147,17431707
Rudy Gay,14500000,17271916
Cody Zeller,14471910,17238456
Eric Gordon,14057730,16745099
Mason Plumlee,14041096,16725285
JJ Redick,13486300,16064430
Jordan Clarkson,13437500,16006301
Dewayne Dedmon,13333334,15882222
Solomon Hill,13290395,15831075
Justise Winslow,13000000,15485166
Thaddeus Young,12900000,15366049
Will Barton,12776786,15219281
Courtney Lee,12759670,15198893
Larry Nance Jr,12727273,15160303
Patrick Mills,12678571,15102290
Kelly Olynyk,12667885,15089562
Marcus Smart,12553571,14953395
Terrence Ross,12500000,14889583
Patrick Beverley,12345680,14705762
Trevor Ariza,12200000,14532233
Brook Lopez,12093024,14404806
Jusuf Nurkic,12000000,14293999
Cory Joseph,12000000,14293999
Joe Ingles,11454546,13644273
Tony Snell,11392857,13570791
Robert Covington,11301219,13461635
Meyers Leonard,11286515,13444120
TJ Warren,11060000,13174303
Moe Harkless,11011234,13116214
Andre Roberson,10740740,12794011
Spencer Dinwiddie,10605600,12633037
Jeremy Lamb,10500000,12507249
Dwight Powell,10259375,12220625
George Hill,10133907,12071172
Josh Richardson,10116576,12050527
Norman Powell,10116576,12050527
Tyus Jones,10116000,12049841
Tomas Satoransky,10000000,11911666
DeAndre Jordan,9881598,11770630
Zion Williamson,9757440,11622737
Markelle Fultz,9745200,11608157
John Henson,9732396,11592905
Matthew Dellavedova,9607500,11444133
Dante Exum,9600000,11435199
Deandre Ayton,9562920,11391031
Delon Wright,9473684,11284736
Jerami Grant,9346153,11132825
Fred VanVleet,9346153,11132825
Al-Farouq Aminu,9258000,11027820
Kyle Anderson,9073050,10807514
Taj Gibson,9000000,10720499
Ja Morant,8730240,10399170
Lonzo Ball,8719320,10386163
E'Twaun Moore,8664928,10321373
Marvin Bagley,8556120,10191764
Bogdan Bogdanovic,8529386,10159920
PJ Tucker,8349039,9945096
Cristiano Felicio,8156500,9715750
Kentavious Caldwell-Pope,8139282,9695241
Ben Simmons,8113929,9665041
Maxi Kleber,8000000,9529333
Louis Williams,8000000,9529333
Elfrid Payton,8000000,9529333
Wayne Ellington,8000000,9529333
Thomas Bryant,8000000,9529333
RJ Barrett,7839960,9338698
Jayson Tatum,7830000,9326834
Jae Crowder,7815533,9309602
Luka Doncic,7683360,9152162
Joe Harris,7666667,9132278
Seth Curry,7461380,8887747
DeMarre Carroll,7339258,8742279
Langston Galloway,7333333,8735221
Doug McDermott,7333333,8735221
Derrick Rose,7317074,8715854
Brandon Ingram,7265485,8654403
Darius Miller,7250000,8635958
DJ Augustin,7250000,8635958
De'Andre Hunter,7068360,8419594
Josh Jackson,7059480,8409017
Ersan Ilyasova,7000000,8338166
Davis Bertans,7000000,8338166
Jaren Jackson Jr,6927480,8251783
Nemanja Bjelica,6825000,8129712
Jaylen Brown,6534829,7784070
Jabari Parker,6500000,7742583
Ivica Zubac,6481482,7720525
Darius Garland,6400920,7624562
De'Aaron Fox,6392760,7614842
Trae Young,6273000,7472188
Montrezl Harrell,6000000,7146999
Ishmael Smith,6000000,7146999
Marco Belinelli,5846154,6963743
Jarrett Culver,5813640,6925014
Jonathan Isaac,5806440,6916437
Rodney Hood,5718000,6811090
Mo Bamba,5697600,6786791
Trey Lyles,5500000,6551416
Aron Baynes,5453280,6495765
Kris Dunn,5348007,6370367
Coby White,5307120,6321664
Lauri Markkanen,5300400,6313659
Wendell Carter,5201400,6195734
Daniel Theis,5000000,5955833
Luol Deng,5000000,5955833
Jaxson Hayes,4862040,5791499
Buddy Hield,4861207,5790507
Frank Ntilikina,4855800,5784067
Rodney McGruder,4807693,5726763
Enes Kanter,4767000,5678291
Garrett Temple,4767000,5678291
Justin Holiday,4767000,5678291
JaMychal Green,4767000,5678291
Avery Bradley,4767000,5678291
Robin Lopez,4767000,5678291
Mike Scott,4767000,5678291
Frank Kaminsky,4767000,5678291
Richaun Holmes,4767000,5678291
Ed Davis,4767000,5678291
Collin Sexton,4764960,5675861
Rui Hachimura,4469160,5323514
Kevon Looney,4464286,5317708
Dennis Smith,4463640,5316939
Jamal Murray,4444746,5294433
Kevin Knox,4380120,5217452
Cam Reddish,4245720,5057360
Zach Collins,4240200,5050784
Mikal Bridges,4161000,4956444
Alex Len,4160000,4955253
Nicolo Melli,4102564,4886837
Cameron Johnson,4033440,4804499
Malik Monk,4028400,4798495
Dorian Finney-Smith,4000000,4764666
JaVale McGee,4000000,4764666
Reggie Bullock,4000000,4764666
Patrick McCaw,4000000,4764666
Shai Gilgeous-Alexander,3952920,4708586
PJ Washington,3831840,4564360
Luke Kennard,3827160,4558785
Miles Bridges,3755400,4473307
Jakob Poeltl,3754885,4472693
Tyler Herro,3640200,4336084
Donovan Mitchell,3635760,4330796
Stanley Johnson,3623000,4315596
Jake Layman,3581986,4266742
Thon Maker,3569643,4252039
Jerome Robinson,3567720,4249749
Danuel House,3540000,4216729
Domantas Sabonis,3529554,4204287
Boban Marjanovic,3500000,4169083
TJ McConnell,3500000,4169083
DeMarcus Cousins,3500000,4169083
Taurean Prince,3481985,4147624
Dario Saric,3481985,4147624
Romeo Langford,3458400,4119530
Bam Adebayo,3454080,4114384
Michael Porter,3389400,4037340
Denzel Valentine,3377568,4023246
Juan Hernangomez,3321029,3955898
Sekou Doumbouya,3285120,3913125
Justin Jackson,3280920,3908122
Troy Brown,3219480,3834937
Yogi Ferrell,3150000,3752174
Zhaire Smith,3058800,3643540
Ryan Arcidiacono,3000000,3573499
Quinn Cook,3000000,3573499
Khem Birch,3000000,3573499
Nickeil Alexander-Walker,2964840,3531618
DJ Wilson,2961120,3527187
Cedi Osman,2907143,3462891
Donte DiVincenzo,2905800,3461292
Bryn Forbes,2875000,3424604
Goga Bitadze,2816760,3355230
TJ Leaf,2813280,3351085
Lonnie Walker,2764200,3292622
Alex Caruso,2750000,3275708
Malik Beasley,2731713,3253925
Luka Samanic,2689920,3204143
John Collins,2686560,3200140
Kevin Huerter,2636280,3140248
Caris LeVert,2625717,3127666
Marko Guduric,2625000,3126812
DeAndre Bembry,2603981,3101775
Matisse Thybulle,2582160,3075782
Harry Giles,2578800,3071780
Vince Carter,2564753,3055048
Wilson Chandler,2564753,3055048
Jose Juan Barea,2564753,3055048
Thabo Sefolosha,2564753,3055048
Tyson Chandler,2564753,3055048
Dwight Howard,2564753,3055048
Rajon Rondo,2564753,3055048
Jared Dudley,2564753,3055048
Udonis Haslem,2564753,3055048
Kyle Korver,2564753,3055048
Wesley Matthews,2564753,3055048
Josh Okogie,2530680,3014461
Vincent Poirier,2505793,2984817
Rondae Hollis-Jefferson,2500000,2977916
Brandon Clarke,2478840,2952711
Terrance Ferguson,2475840,2949138
Grayson Allen,2429400,2893820
Alfonzo McKinnie,2391985,2849252
Grant Williams,2379840,2834786
Jarrett Allen,2376840,2831212
Pascal Siakam,2351838,2801430
Skal Labissiere,2338846,2785955
Chandler Hutchison,2332320,2778181
Patrick Patterson,2331593,2777315
Dejounte Murray,2321735,2765573
Alec Burks,2320044,2763559
Damian Jones,2305057,2745707
Darius Bazley,2284800,2721577
Ante Zizic,2281800,2718004
OG Anunoby,2281800,2718004
Markieff Morris,2259887,2691902
Luke Kornet,2250000,2680124
Aaron Holiday,2239200,2667260
Ty Jerome,2193480,2612800
Willie Cauley-Stein,2177483,2593745
Kyle O'Quinn,2174318,2589975
Austin Rivers,2174310,2589965
Carmelo Anthony,2159029,2571763
Anfernee Simons,2149560,2560484
Nassir Little,2105520,2508025
Moritz Wagner,2063520,2457996
Dylan Windler,2035800,2424977
Caleb Swanigan,2033160,2421832
Ben McLemore,2028594,2416393
Mike Muscala,2028594,2416393
Michael Carter-Williams,2028594,2416393
Noah Vonleh,2000000,2382333
Torrey Craig,2000000,2382333
Edmond Sumner,2000000,2382333
Landry Shamet,1995120,2376520
Mfiondu Kabengele,1977000,2354936
Kyle Kuzma,1974600,2352077
Jordan Poole,1964760,2340356
Tony Bradley,1962360,2337497
Keldon Johnson,1950600,2323489
Derrick White,1948080,2320487
Robert Williams,1937520,2307909
Josh Hart,1934160,2303906
Jacob Evans,1925880,2294044
Dzanan Musa,1911600,2277034
Omari Spellman,1897800,2260596
Nerlens Noel,1882867,2242808
James Ennis,1882867,2242808
Glenn Robinson III,1882867,2242808
Bruno Caboclo,1845301,2198061
Shabazz Napier,1845301,2198061
JR Smith,1746470,2080336
JaKarr Sampson,1737145,2069229
Raul Neto,1737145,2069229
Mario Hezonja,1737145,2069229
Emmanuel Mudiay,1737145,2069229
Pat Connaughton,1723050,2052439
Jahlil Okafor,1702486,2027944
Rodions Kurucs,1699236,2024073
Cheick Diallo,1678854,1999794
Willy Hernangomez,1676735,1997270
Treveon Graham,1645357,1959894
Christian Wood,1645357,1959894
Derrick Jones,1645357,1959894
Georges Niang,1645357,1959894
Shaquille Harrison,1620564,1930361
Furkan Korkmaz,1620564,1930361
Semi Ojeleye,1618520,1927927
Dwayne Bacon,1618520,1927927
Dillon Brooks,1618520,1927927
Sterling Brown,1618520,1927927
Frank Jackson,1618520,1927927
Damyean Dotson,1618520,1927927
Abdel Nader,1618520,1927927
Wesley Iwundu,1618520,1927927
Royce O'Neale,1618520,1927927
Monte Morris,1588231,1891847
Malcolm Miller,1588231,1891847
Chris Boucher,1588231,1891847
Mitchell Robinson,1559712,1857876
Isaiah Roby,1500000,1786749
Nigel Williams-Goss,1500000,1786749
Brad Wanamaker,1445697,1722066
Thanasis Antetokounmpo,1445697,1722066
Theo Pinson,1445697,1722066
Shake Milton,1445697,1722066
Wenyen Gabriel,1445697,1722066
Devonte Graham,1416852,1687706
Jalen Brunson,1416852,1687706
Keita Bates-Diop,1416852,1687706
Sviatoslav Mykhailiuk,1416852,1687706
Khyri Thomas,1416852,1687706
Bruce Brown,1416852,1687706
Alize Johnson,1416852,1687706
De'Anthony Melton,1416852,1687706
Kendrick Nunn,1416852,1687706
Duncan Robinson,1416852,1687706
Jarred Vanderbilt,1416852,1687706
Kenrich Williams,1416852,1687706
Hamidou Diallo,1416852,1687706
Deonte Burton,1416852,1687706
Melvin Frazier,1416852,1687706
Ryan Broekhoff,1416852,1687706
Jevon Carter,1416852,1687706
Elie Okobo,1416852,1687706
Gary Trent Jr,1416852,1687706
Chimezie Metu,1416852,1687706
Isaac Bonga,1416852,1687706
Bruno Fernando,1400000,1667633
Jaylen Nowell,1400000,1667633
Kevin Porter,1290960,1537748
Jordan McRae,1254933,1494834
Carsen Edwards,1228026,1462783
Cody Martin,1173310,1397607
Gary Payton II,1052909,1254190
Terance Mann,1000000,1191166
Admiral Schofield,1000000,1191166
David Nwaba,903111,1075755
Javonte Green,898310,1070036
Nicolas Claxton,898310,1070036
Jalen McDaniels,898310,1070036
Caleb Martin,898310,1070036
Daniel Gafford,898310,1070036
Vlatko Cancar,898310,1070036
Alen Smailagic,898310,1070036
Eric Paschall,898310,1070036
Talen Horton-Tucker,898310,1070036
KZ Okpala,898310,1070036
Naz Reid,898310,1070036
Ignas Brazdeikis,898310,1070036
Jalen Lecque,898310,1070036
DaQuan Jeffries,898310,1070036
Justin James,898310,1070036
Matt Thomas,898310,1070036
Terence Davis,898310,1070036
Dewan Hernandez,898310,1070036
Miye Oni,898310,1070036
Damion Lee,842327,1003351
Jeff Green,840427,1001088
Timothe Luwawu,837583,997700
Juwan Morgan,746054,888674
Gary Clark,718765,856168
Marvin Williams,604278,719795
Michael Kidd-Gilchrist,595122,708889
Rayjon Tucker,578573,689176
Chris Clemons,563346,671038
Brandon Goodwin,522738,622668
Reggie Jackson,512721,610736
Justin Patton,483115,575470
Anzejs Pasecniks,482144,574313
Chris Silva,466918,556177
Troy Daniels,458439,546077
Anthony Tolliver,434704,517804
Joakim Noah,381360,454263
Dion Waiters,375385,447146
Dean Wade,375000,446687
Juan Toscano-Anderson,350189,417133
Ky Bowman,350189,417133
Norvel Pelle,350189,417133
Jamal Crawford,289803,345203
Jordan Bell,250000,297791
Tyler Zeller,245686,292652
Trey Burke,229220,273039
Jontay Porter,197933,235771
Cameron Payne,196288,233811
Jerian Grant,196288,233811
Dragan Bender,189700,225964
Mychal Mulder,187782,223679
Tyler Johnson,183115,218120
PJ Dozier,183115,218120
Sindarius Thornwell,183115,218120
Corey Brewer,183115,218120
Joe Chealey,163356,194584
Jaylen Adams,163356,194584
Johnathan Williams,161245,192069
Luguentz Dort,155647,185401
Oshae Brissett,129568,154337
JP Macura,106181,126479
Donta Hall,101504,120908
Sheldon Mac,91557,109059
Chasson Randle,91557,109059
Jonah Bolden,89846,107021
Derrick Walton,81678,97292
Charlie Brown,79568,94778
Tacko Fall,79568,94778
Tremont Waters,79568,94778
Jeremiah Martin,79568,94778
Chris Chiozza,79568,94778
Raymond Spalding,79568,94778
Kobi Simmons,79568,94778
Max Strus,79568,94778
Adam Mokoka,79568,94778
Matt Mooney,79568,94778
Josh Reaves,79568,94778
Antonius Cleveland,79568,94778
Tyler Cook,79568,94778
Bol Bol,79568,94778
Jordan Bone,79568,94778
Louis King,79568,94778
Michael Frazier,79568,94778
William Howard,79568,94778
Naz Long,79568,94778
Brian Bowen,79568,94778
Johnathan Motley,79568,94778
Amir Coffey,79568,94778
Devontae Cacok,79568,94778
Kostas Antetokounmpo,79568,94778
John Konchar,79568,94778
Yuta Watanabe,79568,94778
Kyle Alexander,79568,94778
Gabe Vincent,79568,94778
Cam Reynolds,79568,94778
Frank Mason,79568,94778
Kelan Martin,79568,94778
Jordan McLaughlin,79568,94778
Zylan Cheatham,79568,94778
Josh Gray,79568,94778
Kenny Wooten,79568,94778
Jared Harper,79568,94778
Kevin Hervey,79568,94778
Vic Law,79568,94778
BJ Johnson,79568,94778
Marial Shayok,79568,94778
Tariq Owens,79568,94778
Moses Brown,79568,94778
Jaylen Hoard,79568,94778
Kyle Guy,79568,94778
Drew Eubanks,79568,94778
Quinndary Weatherspoon,79568,94778
Paul Watson,79568,94778
Jarrell Brantley,79568,94778
Justin Wright-Foreman,79568,94778
Garrison Mathews,79568,94778
Malik Newman,65978,78590
